C7057|Disease, Disorder or Finding
C48988|Breast Cancer pT4c TNM Finding v6 and v7
C48995|Breast Cancer pN0(mol+) TNM Finding v6 and v7
C48979|Breast Cancer pT1mic TNM Finding v6 and v7
C48997|Breast Cancer pN1mi TNM Finding v6
C73353|Breast Cancer cN3a TNM Finding v6 and v7
C49004|Breast Cancer pN3 TNM Finding v6
C73354|Breast Cancer cN3b TNM Finding v6 and v7
C73355|Breast Cancer cN3c TNM Finding v6 and v7
C48972|Breast Cancer pTX TNM Finding v6 and v7
C48979|Breast Cancer pT1mic TNM Finding v6 and v7
C48986|Breast Cancer pT4a TNM Finding v6 and v7
C48987|Breast Cancer pT4b TNM Finding v6 and v7
C48988|Breast Cancer pT4c TNM Finding v6 and v7
C73353|Breast Cancer cN3a TNM Finding v6 and v7
C73354|Breast Cancer cN3b TNM Finding v6 and v7
C73355|Breast Cancer cN3c TNM Finding v6 and v7
C48995|Breast Cancer pN0(mol+) TNM Finding v6 and v7
C88353|Breast Cancer pN1mi TNM Finding v7
C35869|Radiologic Finding
C88361|Breast Cancer pN3 TNM Finding v7
C48851|Cutaneous Melanoma pT4 TNM Finding v6 and v7
C48849|Cutaneous Melanoma pT3a TNM Finding v6 and v7
C48850|Cutaneous Melanoma pT3b TNM Finding v6 and v7
C48839|Cutaneous Melanoma pTX TNM Finding v6
C48854|Cutaneous Melanoma pNX TNM Finding v6
C8503|Evaluable Disease
C88508|Retracted Tympanometry Result
C131067|BCR/ABL1 Fusion Protein Negative
C131787|CDKN2A Negative
C5420|Paraneoplastic Subacute Sensory Neuronopathy
C131807|Cytomegalovirus Negative
C39625|Extracutaneous Dissemination of Disease
C54184|Columnar Cell Hyperplasia of the Breast with Atypia
C46101|Neoplastic C-Cell Hyperplasia
C35560|Complex Endometrial Hyperplasia with Atypia
C123571|Absent Morphologic Response
C6991|Simple Endometrial Hyperplasia with Atypia
C94536|Best Overall Response
C132455|Bone Response
C3073|Gynecomastia
C7675|High Grade Cervical Glandular Intraepithelial Neoplasia
C7674|Low Grade Cervical Glandular Intraepithelial Neoplasia
C94676|Cervical Intraepithelial Neoplasia Grade 2/3
C40196|Low Grade Cervical Squamous Intraepithelial Neoplasia
C40197|High Grade Cervical Squamous Intraepithelial Neoplasia
C7675|High Grade Cervical Glandular Intraepithelial Neoplasia
C40197|High Grade Cervical Squamous Intraepithelial Neoplasia
C4843|Biliary Intraepithelial Neoplasia
C96420|Appendix High Grade Intraepithelial Neoplasia
C96419|Appendix Low Grade Intraepithelial Neoplasia
C27789|Endometrial Intraepithelial Neoplasia
C7674|Low Grade Cervical Glandular Intraepithelial Neoplasia
C7675|High Grade Cervical Glandular Intraepithelial Neoplasia
C43598|Perianal Squamous Intraepithelial Neoplasia
C7490|Anal Canal Squamous Intraepithelial Neoplasia
C96945|Bile Duct Biliary Intraepithelial Neoplasia
C67491|Biliary Intraepithelial Neoplasia-1
C43606|Gallbladder Biliary Intraepithelial Neoplasia
C7678|Adenocarcinoma In Situ in Adenomatous Polyp
C7678|Adenocarcinoma In Situ in Adenomatous Polyp
C5729|Stage 0 Pancreatic Cancer
C126806|Myelofibrosis Transformation in Essential Thrombocythemia
C4520|Cervical Adenocarcinoma In Situ
C133402|Clinical Stage 0 Esophageal Adenocarcinoma AJCC v8
C133550|Clinical Stage 0 Gastroesophageal Junction Adenocarcinoma AJCC v8
C133550|Clinical Stage 0 Gastroesophageal Junction Adenocarcinoma AJCC v8
C3125|Breast Hypertrophy
C133413|Pathologic Stage 0 Esophageal Adenocarcinoma AJCC v8
C79606|Lactation Disorder
C133519|Pathologic Stage 0 Esophageal Squamous Cell Carcinoma AJCC v8
C54184|Columnar Cell Hyperplasia of the Breast with Atypia
C27941|Usual Ductal Breast Hyperplasia
C5169|Breast Neuroendocrine Neoplasm
C40399|Breast Leiomyoma
C5210|Breast Capillary Hemangioma
C5211|Breast Epithelioid Hemangioma
C3695|Papillary Fibroelastoma
C7748|Cardiac Myxoma
C62210|Breast Tubular Adenoma
C8535|Benign Epicardial Neoplasm
C5360|Cardiac Granular Cell Tumor
C4568|Malignant Epicardial Neoplasm
C4791|Left Atrial Myxoma
C4791|Left Atrial Myxoma
C6742|Epicardial Lipoma
C4792|Right Atrial Myxoma
C4792|Right Atrial Myxoma
C6742|Epicardial Lipoma
C4568|Malignant Epicardial Neoplasm
C6739|Cardiac Rhabdomyoma
C5360|Cardiac Granular Cell Tumor
C3695|Papillary Fibroelastoma
C6739|Cardiac Rhabdomyoma
C4568|Malignant Epicardial Neoplasm
C7748|Cardiac Myxoma
C6745|Superior Vena Cava Leiomyosarcoma
C5367|Malignant Cardiac Peripheral Nerve Sheath Tumor
C9040|Adult Angiosarcoma
C27512|Angiosarcoma Associated with Lymphedema
C9411|Angiosarcoma NCI Grade 2
C114923|Adult Epithelioid Hemangioendothelioma
C121941|Bone Epithelioid Hemangioendothelioma
C129536|Central Nervous System Epithelioid Hemangioendothelioma
C45755|Cardiac Undifferentiated Pleomorphic Sarcoma
C45759|Cardiac Rhabdomyosarcoma
C5602|Anal Kaposi Sarcoma
C96434|Appendix Kaposi Sarcoma
C3992|AIDS-Related Kaposi Sarcoma
C45756|Cardiac Synovial Sarcoma
C40379|Angiosarcoma of the Skin of the Arm after Radical Mastectomy followed by Lymphedema
C27719|Cutaneous Radiation-Related Angiosarcoma
C9112|Classic Kaposi Sarcoma
C6745|Superior Vena Cava Leiomyosarcoma
C26923|Sinus Bradycardia
C26889|Sinus Tachycardia
C98922|Endocardial Fibroelastosis
C35061|Supraventricular Tachycardia
C99938|Chronic Total Occlusion Vessel
C34582|Endocarditis
C101253|Aorta Disease
C34391|Aortic Arch Syndrome
C99024|Premature Closure of Ductus Arteriosus
C50461|Aortic Dissection
C84625|Cerebral Amyloid Angiopathy
C50486|Cerebral Infarction
C3390|Cerebrovascular Accident
C84482|Congenital Septal Defect
C98585|Total Anomalous Pulmonary Venous Return
C34666|Heart Malformation
C98958|Interrupted Aortic Arch
C84742|Transposition of Great Vessels
C103917|Right Aortic Arch
C66799|Metastasizing Chondroblastoma
C124495|Aorticopulmonary Septal Defect
C121932|Giant Cell Tumor of Bone
C101029|Atrioventricular Septal Defect
C98597|Type III Total Anomalous Pulmonary Venous Return
C98598|Type IV Total Anomalous Pulmonary Venous Return
C98592|Type II Total Anomalous Pulmonary Venous Return
C99544|Left Ventricular Non-Compaction Syndrome
C27475|Bone Lipoma
C6477|Bone Hemangioma
C3830|Chondromyxoid Fibroma
C4016|Bone Cancer
C6477|Bone Hemangioma
C27475|Bone Lipoma
C125699|Ehlers-Danlos Syndrome, Type IV
C3830|Chondromyxoid Fibroma
C98576|Osteogenesis Imperfecta Type IV
C125700|Ehlers-Danlos Syndrome, Type VI
C4016|Bone Cancer
C125701|Ehlers-Danlos Syndrome, Type VII
C7063|Notochordal Tumor
C4261|Adult Extracardiac Rhabdomyoma
C4260|Fetal Rhabdomyoma
C6517|Genital Rhabdomyoma
C4261|Adult Extracardiac Rhabdomyoma
C4260|Fetal Rhabdomyoma
C4261|Adult Extracardiac Rhabdomyoma
C6517|Genital Rhabdomyoma
C4260|Fetal Rhabdomyoma
C45747|Adult Cardiac Cellular Rhabdomyoma
C6517|Genital Rhabdomyoma
C49179|Conventional Cardiac Rhabdomyoma
C5608|Anal Leiomyoma
C5514|Appendix Leiomyoma
C4257|Bizarre Leiomyoma
C9130|Adult Rhabdomyosarcoma
C3749|Alveolar Rhabdomyosarcoma
C5610|Anal Rhabdomyosarcoma
C9130|Adult Rhabdomyosarcoma
C3749|Alveolar Rhabdomyosarcoma
C5610|Anal Rhabdomyosarcoma
C4016|Bone Cancer
C27475|Bone Lipoma
C6477|Bone Hemangioma
C3830|Chondromyxoid Fibroma
C6477|Bone Hemangioma
C7810|Adult Leiomyosarcoma
C8093|Childhood Leiomyosarcoma
C9428|Conventional Leiomyosarcoma
C27475|Bone Lipoma
C34466|Cartilage Development Disorder
C3830|Chondromyxoid Fibroma
C7063|Notochordal Tumor
C3008|Enchondromatosis
C34467|Synovial Chondromatosis
C35476|Aseptic Necrosis of Bone
C6714|Sternal Chondromyxoid Fibroma
C34841|Avascular Necrosis of Bone
C94497|Bisphosphonate-Associated Osteonecrosis
C7001|Central Nervous System Chondroma
C45629|Lung Chondroma
C6596|Mediastinal Chondroma
C49078|Cutaneous Fibrous Histiocytoma, Cellular Variant
C49079|Cutaneous Fibrous Histiocytoma, Epithelioid Variant
C49076|Cutaneous Fibrous Histiocytoma, Fibroblastic Variant
C6492|Deep Benign Fibrous Histiocytoma
C129549|Intracranial Benign Fibrous Histiocytoma
C121929|Non-Ossifying Fibroma
C119042|Chronic Recurrent Multifocal Osteomyelitis
C7059|Mesenchymal Cell Neoplasm
C48773|pT4a Stage Finding
C48774|pT4b Stage Finding
C48775|pT4c Stage Finding
C95921|N0 (i-) Stage Finding
C95922|N0 (i+) Stage Finding
C95923|N0 (mol-) Stage Finding
C48711|N2a Stage Finding
C48712|N2b Stage Finding
C48713|N2c Stage Finding
C48707|N1a Stage Finding
C48738|Tis Stage Finding
C48708|N1b Stage Finding
C48709|N1c Stage Finding
C48733|T4a Stage Finding
C48734|T4b Stage Finding
C48735|T4c Stage Finding
C7698|Nicotine Withdrawal
C99258|Perinatal Drug Withdrawal
C98998|Opiate Withdrawal Syndrome
C48974|Breast Cancer pTis TNM Finding v6 and v7
C48989|Breast Cancer pT4d TNM Finding v6 and v7
C48990|Breast Cancer pNX TNM Finding v6 and v7
C49005|Breast Cancer pN3a TNM Finding v6 and v7
C49006|Breast Cancer pN3b TNM Finding v6
C49007|Breast Cancer pN3c TNM Finding v6 and v7
C48974|Breast Cancer pTis TNM Finding v6 and v7
C48989|Breast Cancer pT4d TNM Finding v6 and v7
C48990|Breast Cancer pNX TNM Finding v6 and v7
C50431|Abnormal Mammogram
C113113|Arterial Hypervascularization
C128567|Anatomic Imaging Concept
C49005|Breast Cancer pN3a TNM Finding v6 and v7
C49007|Breast Cancer pN3c TNM Finding v6 and v7
C88362|Breast Cancer pN3b TNM Finding v7
C48853|Cutaneous Melanoma pT4b TNM Finding v6 and v7
C48852|Cutaneous Melanoma pT4a TNM Finding v6 and v7
C48841|Cutaneous Melanoma pTis TNM Finding v6 and v7
C39695|Extranodal Disease
C75526|Schirmer Test Wetting
C133332|Donor Retested Negative
C131326|EFGR T790M Mutation Negative
C132226|CDKN2A-p16 Negative
C3380|Spinal Cord Compression
C42601|Extraocular Dissemination of Disease
C123573|CA125 75% Response
C123572|CA125 50% Response
C123574|Clinical Complete Response
C120163|Pathological Gynecomastia
C3186|Leukoplakia
C120148|Pubertal Gynecomastia
C4520|Cervical Adenocarcinoma In Situ
C40199|Cervical Squamous Intraepithelial Neoplasia 1
C4000|Stage 0 Cervical Cancer
C40198|Cervical Squamous Intraepithelial Neoplasia 2
C4520|Cervical Adenocarcinoma In Situ
C7347|Cervical Squamous Cell Carcinoma In Situ
C40198|Cervical Squamous Intraepithelial Neoplasia 2
C7347|Cervical Squamous Cell Carcinoma In Situ
C96945|Bile Duct Biliary Intraepithelial Neoplasia
C43606|Gallbladder Biliary Intraepithelial Neoplasia
C67491|Biliary Intraepithelial Neoplasia-1
C4839|Esophageal Intraepithelial Neoplasia
C4520|Cervical Adenocarcinoma In Situ
C27424|Esophageal Glandular Intraepithelial Neoplasia
C27275|High Grade Anal Canal Squamous Intraepithelial Neoplasia
C96942|Extrahepatic Bile Duct Biliary Intraepithelial Neoplasia
C27238|Low Grade Anal Canal Squamous Intraepithelial Neoplasia
C43607|Gallbladder Flat Biliary Intraepithelial Neoplasia
C96943|Intrahepatic Bile Duct Biliary Intraepithelial Neoplasia
C67492|Biliary Intraepithelial Neoplasia-2
C43609|Gallbladder Papillary Biliary Intraepithelial Neoplasia
C7679|Adenocarcinoma In Situ in Tubular Adenoma
C4144|Adenocarcinoma In Situ in Tubulovillous Adenoma
C8376|Adenocarcinoma In Situ in Villous Adenoma
C7679|Adenocarcinoma In Situ in Tubular Adenoma
C4144|Adenocarcinoma In Situ in Tubulovillous Adenoma
C8376|Adenocarcinoma In Situ in Villous Adenoma
C3396|Superior Vena Cava Syndrome
C4195|Ductal Breast Carcinoma In Situ and Lobular Carcinoma In Situ
C67493|Biliary Intraepithelial Neoplasia-3
C3522|Mammary Duct Ectasia
C2924|Ductal Breast Carcinoma In Situ
C133654|Pathologic Stage 0 Gastric Cancer AJCC v8
C133564|Pathologic Stage 0 Gastroesophageal Junction Adenocarcinoma AJCC v8
C53662|Mastitis
C4444|Stage 0 Ampulla of Vater Cancer
C54658|Breast Nevus
C6760|Breast Small Cell Carcinoma
C40356|Breast Large Cell Neuroendocrine Carcinoma
C4647|Breast Lipoma
C97965|Breast Solid Neuroendocrine Carcinoma
C40397|Breast Myofibroblastoma
C45748|Ventricular Myxoma
C6742|Epicardial Lipoma
C9473|Lactating Adenoma
C6947|Cardiac Fibroma
C8536|Benign Pericardial Neoplasm
C8536|Benign Pericardial Neoplasm
C6947|Cardiac Fibroma
C45747|Adult Cardiac Cellular Rhabdomyoma
C49179|Conventional Cardiac Rhabdomyoma
C45747|Adult Cardiac Cellular Rhabdomyoma
C49179|Conventional Cardiac Rhabdomyoma
C5349|Myocardial Neoplasm
C45748|Ventricular Myxoma
C4569|Malignant Myocardial Neoplasm
C4567|Malignant Pericardial Neoplasm
C40379|Angiosarcoma of the Skin of the Arm after Radical Mastectomy followed by Lymphedema
C9412|Angiosarcoma NCI Grade 3
C114926|Childhood Epithelioid Hemangioendothelioma
C96846|Liver Epithelioid Hemangioendothelioma
C4453|Lung Epithelioid Hemangioendothelioma
C96510|Colorectal Kaposi Sarcoma
C121671|Angiosarcoma of Soft Tissue
C4578|Conjunctival Kaposi Sarcoma
C7433|AIDS-Related Cervical Kaposi Sarcoma
C5624|AIDS-Related Gastric Kaposi Sarcoma
C45757|Cardiac Biphasic Synovial Sarcoma
C45758|Cardiac Monophasic Synovial Sarcoma
C110938|Tachyarrhythmia
C34585|Endomyocardial Fibrosis
C38029|Tachycardia
C7388|Vascular Neoplasm
C98848|Congenital Bundle of His Tachycardia
C101197|Congenital Supraventricular Tachycardia
C35481|Atrial Tachycardia
C100062|Chronic Total Coronary Artery Occlusion
C128359|Bacterial Endocarditis
C35432|Acute Endocarditis
C128357|Early Prosthetic Valve Endocarditis
C103266|Congenital Aortic Arch Hypoplasia
C99704|Arterial Dissection
C99058|Shone Syndrome
C35318|Arterial Occlusion
C34398|Arteriosclerosis
C95803|Hemorrhagic Cerebrovascular Accident
C78394|Cerebrovascular Ischemia
C95802|Ischemic Cerebrovascular Accident
C116715|Venous Stroke
C124495|Aorticopulmonary Septal Defect
C101029|Atrioventricular Septal Defect
C98597|Type III Total Anomalous Pulmonary Venous Return
C98592|Type II Total Anomalous Pulmonary Venous Return
C98598|Type IV Total Anomalous Pulmonary Venous Return
C99544|Left Ventricular Non-Compaction Syndrome
C99106|Vascular Ring
C99096|Dextro-Transposition of the Great Arteries
C101185|Dextro-Transposition of the Great Vessels with Intact Ventricular Septum
C7063|Notochordal Tumor
C101186|Dextro-Transposition of the Great Vessels with Ventricular Septal Defect
C101030|Complete Atrioventricular Canal Defect Balanced
C101031|Complete Atrioventricular Canal Defect Unbalanced
C98590|Type I Total Anomalous Pulmonary Venous Return
C34804|Malposition of Heart and Cardiac Apex
C3008|Enchondromatosis
C5396|Bone Epithelioid Hemangioma
C6714|Sternal Chondromyxoid Fibroma
C7644|Adamantinoma
C6620|Primary Lymphoma of Bone
C5396|Bone Epithelioid Hemangioma
C3008|Enchondromatosis
C6714|Sternal Chondromyxoid Fibroma
C9312|Bone Sarcoma
C7644|Adamantinoma
C6620|Primary Lymphoma of Bone
C6600|Mediastinal Rhabdomyoma
C9312|Bone Sarcoma
C2947|Chordoma
C6518|Intermediate Rhabdomyoma
C40266|Cervical Rhabdomyoma
C27480|Classic Rhabdomyoma
C6372|Vaginal Rhabdomyoma
C6600|Mediastinal Rhabdomyoma
C27480|Classic Rhabdomyoma
C6518|Intermediate Rhabdomyoma
C6600|Mediastinal Rhabdomyoma
C40266|Cervical Rhabdomyoma
C6372|Vaginal Rhabdomyoma
C27480|Classic Rhabdomyoma
C6518|Intermediate Rhabdomyoma
C40266|Cervical Rhabdomyoma
C6372|Vaginal Rhabdomyoma
C53964|Bone Leiomyoma
C6178|Bladder Leiomyoma
C40167|Uterine Corpus Bizarre Leiomyoma
C27369|Adult Pleomorphic Rhabdomyosarcoma
C36099|Adult Botryoid-Type Embryonal Rhabdomyosarcoma
C7958|Childhood Alveolar Rhabdomyosarcoma
C27492|Conventional Alveolar Rhabdomyosarcoma
C123732|Fusion-Negative Alveolar Rhabdomyosarcoma
C27369|Adult Pleomorphic Rhabdomyosarcoma
C5860|Extrahepatic Bile Duct Rhabdomyosarcoma
C36099|Adult Botryoid-Type Embryonal Rhabdomyosarcoma
C7958|Childhood Alveolar Rhabdomyosarcoma
C27492|Conventional Alveolar Rhabdomyosarcoma
C123732|Fusion-Negative Alveolar Rhabdomyosarcoma
C5860|Extrahepatic Bile Duct Rhabdomyosarcoma
C7644|Adamantinoma
C6620|Primary Lymphoma of Bone
C3008|Enchondromatosis
C5396|Bone Epithelioid Hemangioma
C9312|Bone Sarcoma
C6714|Sternal Chondromyxoid Fibroma
C5396|Bone Epithelioid Hemangioma
C4484|Cutaneous Leiomyosarcoma
C3700|Epithelioid Leiomyosarcoma
C123932|Childhood Small Intestinal Leiomyosarcoma
C3008|Enchondromatosis
C34881|Congenital Deformity of Hip
C6714|Sternal Chondromyxoid Fibroma
C2947|Chordoma
C34404|Aseptic Necrosis of Head and Neck of Femur
C35226|Aseptic Necrosis of Head of Humerus
C3295|Osteochondroma
C35517|Avascular Necrosis of Humerus
C35513|Avascular Necrosis of Femur
C121842|Osteochondromyxoma
C63924|Osteonecrosis of Jaw
C121844|Subungual Exostosis
C49077|Cutaneous Fibrous Histiocytoma, Histiocytic Variant
C132080|Congenital Pseudarthrosis of Tibia
C4755|Chondrogenic Neoplasm
C7075|Fibroblastic Neoplasm
C8402|Fibrohistiocytic Neoplasm
C48776|pT4d Stage Finding
C95925|N0 (mol+) Stage Finding
C48714|N3 Stage Finding
C95955|N1mi Stage Finding
C96025|Ta Stage Finding
C95936|N1bIII Stage Finding
C95935|N1bII Stage Finding
C95937|N1bIV Stage Finding
C48736|T4d Stage Finding
C103170|Postnatal Drug Withdrawal
C99255|Neonatal Opiate Withdrawal Syndrome
C48975|Breast Cancer pTis (DCIS) TNM Finding v6 and v7
C48975|Breast Cancer pTis (DCIS) TNM Finding v6 and v7
C48976|Breast Cancer pTis (LCIS) TNM Finding v6 and v7
C48977|Breast Cancer pTis Paget TNM Finding v6 and v7
C48976|Breast Cancer pTis (LCIS) TNM Finding v6 and v7
C48977|Breast Cancer pTis Paget TNM Finding v6 and v7
C98271|Bone-in-Bone Sign
C98272|Bat Wing Pulmonary Opacities
C128568|Prostate Imaging Area
C36156|Favorable Clinical Outcome
C88378|Cutaneous Melanoma TNM Finding v7
C129575|EGFR Driver Mutation Negative
C129576|EML4/ALK Fusion Negative
C131487|FCER2 Negative
C113680|Flare-up
C36292|Laboratory Test Result
C3425|Tumor Lysis Syndrome
C123576|Clinical Partial Response
C123619|Clinical Response
C8390|Anal Leukoplakia
C123575|Complete Hematologic Response
C3953|Esophageal Leukoplakia
C50674|Nipple Ulceration
C3509|Genital Leukoplakia
C4630|Low Grade Cervical Intraepithelial Neoplasia
C96942|Extrahepatic Bile Duct Biliary Intraepithelial Neoplasia
C89550|Stage 0 Cervical Cancer
C96943|Intrahepatic Bile Duct Biliary Intraepithelial Neoplasia
C43609|Gallbladder Papillary Biliary Intraepithelial Neoplasia
C43607|Gallbladder Flat Biliary Intraepithelial Neoplasia
C67492|Biliary Intraepithelial Neoplasia-2
C27424|Esophageal Glandular Intraepithelial Neoplasia
C27425|Esophageal High Grade Intraepithelial Neoplasia
C4840|Esophageal Low Grade Intraepithelial Neoplasia
C36086|Flat Ductal Epithelial Atypia of the Breast
C95613|Intraepithelial Neoplasia in Barrett Esophagus
C27428|Low Grade Esophageal Glandular Intraepithelial Neoplasia
C27429|High Grade Esophageal Glandular Intraepithelial Neoplasia
C67493|Biliary Intraepithelial Neoplasia-3
C8301|Veno-Occlusive Disease
C3955|Gastric Intraepithelial Neoplasia
C91741|Middle Ear Carcinoma In Situ
C82970|Focal Mammary Duct Ectasia
C3642|Grade III Prostatic Intraepithelial Neoplasia
C7949|High Grade Ductal Breast Carcinoma In Situ
C4018|Lobular Breast Carcinoma In Situ
C66933|Ductal Breast Carcinoma In Situ, Solid Type
C9456|Intermediate Grade Ductal Breast Carcinoma In Situ
C4593|Stage 0 Appendix Carcinoma
C7794|Stage 0 Anal Canal Cancer
C5349|Myocardial Neoplasm
C8932|Stage 0 Colorectal Cancer
C40406|Breast Soft Tissue Neoplasm
C5170|Breast Carcinoid Tumor
C6977|Breast Papillomatosis
C4651|Pericardial Neoplasm
C92187|Pericardial Adenomatoid Tumor
C45749|Cardiac Hemangioma
C92187|Pericardial Adenomatoid Tumor
C6743|Pericardial Leiomyoma
C6743|Pericardial Leiomyoma
C4569|Malignant Myocardial Neoplasm
C45749|Cardiac Hemangioma
C6741|Cardiac Lipoma
C4651|Pericardial Neoplasm
C6741|Cardiac Lipoma
C4889|Metastatic Malignant Neoplasm in the Heart
C7631|Pericardial Malignant Mesothelioma
C45762|Metastatic Malignant Neoplasm in the Pericardium
C6479|Bone Angiosarcoma
C45695|Pleural Epithelioid Hemangioendothelioma
C128049|Cervical Angiosarcoma
C5516|Colon Kaposi Sarcoma
C48320|Adrenal Gland Angiosarcoma
C5550|Rectal Kaposi Sarcoma
C5376|Aortic Angiosarcoma
C4579|Corneal Kaposi Sarcoma
C26924|Ventricular Arrhythmia
C5184|Breast Angiosarcoma
C35874|Endemic African Kaposi Sarcoma
C27044|Eosinophilic Endomyocardial Disease
C111646|Junctional Ectopic Tachycardia
C7387|Blood Vessel Neoplasm
C7389|Benign Vascular Neoplasm
C5354|Cutaneous Vascular Neoplasm
C34900|Paroxysmal Atrial Tachycardia
C99113|Ectopic Atrial Tachycardia
C35610|Diabetic Vascular Disorder
C35201|Acute Rheumatic Endocarditis
C78265|Infective Endocarditis
C128358|Late Prosthetic Valve Endocarditis
C99709|Significant Arterial Dissection
C99060|Single Ventricle Defect
C35793|Femoropopliteal Occlusive Disease
C93024|Hepatic Arterial Occlusion
